2018-08-24 01:30:33 chartsDataCollector died, spawning replacement...
2018-08-24 01:33:35 chartsDataCollector died, spawning replacement...
2018-08-24 01:36:38 chartsDataCollector died, spawning replacement...
2018-08-24 01:39:40 chartsDataCollector died, spawning replacement...
2018-08-24 01:42:42 chartsDataCollector died, spawning replacement...
2018-08-24 01:45:45 chartsDataCollector died, spawning replacement...
2018-08-24 01:48:47 chartsDataCollector died, spawning replacement...
2018-08-24 01:51:49 chartsDataCollector died, spawning replacement...
2018-08-24 01:54:51 chartsDataCollector died, spawning replacement...
2018-08-24 01:57:54 chartsDataCollector died, spawning replacement...
2018-08-24 02:00:56 chartsDataCollector died, spawning replacement...
2018-08-24 02:03:58 chartsDataCollector died, spawning replacement...
2018-08-24 02:07:01 chartsDataCollector died, spawning replacement...
2018-08-24 02:10:03 chartsDataCollector died, spawning replacement...
2018-08-24 02:13:05 chartsDataCollector died, spawning replacement...
2018-08-24 02:16:08 chartsDataCollector died, spawning replacement...
2018-08-24 02:19:10 chartsDataCollector died, spawning replacement...
2018-08-24 02:22:12 chartsDataCollector died, spawning replacement...
2018-08-24 02:25:15 chartsDataCollector died, spawning replacement...
2018-08-24 02:28:17 chartsDataCollector died, spawning replacement...
2018-08-24 02:31:19 chartsDataCollector died, spawning replacement...
2018-08-24 02:34:22 chartsDataCollector died, spawning replacement...
2018-08-24 02:37:24 chartsDataCollector died, spawning replacement...
2018-08-24 02:40:26 chartsDataCollector died, spawning replacement...
2018-08-24 02:43:29 chartsDataCollector died, spawning replacement...
2018-08-24 02:46:31 chartsDataCollector died, spawning replacement...
2018-08-24 02:49:33 chartsDataCollector died, spawning replacement...
2018-08-24 02:52:36 chartsDataCollector died, spawning replacement...
2018-08-24 02:55:38 chartsDataCollector died, spawning replacement...
2018-08-24 02:58:40 chartsDataCollector died, spawning replacement...
2018-08-24 03:01:43 chartsDataCollector died, spawning replacement...
2018-08-24 03:04:45 chartsDataCollector died, spawning replacement...
2018-08-24 03:07:47 chartsDataCollector died, spawning replacement...
2018-08-24 03:10:49 chartsDataCollector died, spawning replacement...
2018-08-24 03:13:52 chartsDataCollector died, spawning replacement...
2018-08-24 03:16:54 chartsDataCollector died, spawning replacement...
2018-08-24 03:19:56 chartsDataCollector died, spawning replacement...
2018-08-24 03:22:59 chartsDataCollector died, spawning replacement...
2018-08-24 03:26:01 chartsDataCollector died, spawning replacement...
2018-08-24 03:29:03 chartsDataCollector died, spawning replacement...
2018-08-24 03:32:06 chartsDataCollector died, spawning replacement...
2018-08-24 03:35:08 chartsDataCollector died, spawning replacement...
2018-08-24 03:38:10 chartsDataCollector died, spawning replacement...
2018-08-24 03:41:12 chartsDataCollector died, spawning replacement...
2018-08-24 03:44:15 chartsDataCollector died, spawning replacement...
2018-08-24 03:47:17 chartsDataCollector died, spawning replacement...
2018-08-24 03:50:19 chartsDataCollector died, spawning replacement...
2018-08-24 03:53:22 chartsDataCollector died, spawning replacement...
2018-08-24 03:56:24 chartsDataCollector died, spawning replacement...
2018-08-24 03:59:26 chartsDataCollector died, spawning replacement...
2018-08-24 04:02:29 chartsDataCollector died, spawning replacement...
2018-08-24 04:05:31 chartsDataCollector died, spawning replacement...
2018-08-24 04:08:33 chartsDataCollector died, spawning replacement...
2018-08-24 04:11:36 chartsDataCollector died, spawning replacement...
2018-08-24 04:14:38 chartsDataCollector died, spawning replacement...
2018-08-24 04:17:40 chartsDataCollector died, spawning replacement...
2018-08-24 04:20:42 chartsDataCollector died, spawning replacement...
2018-08-24 04:23:45 chartsDataCollector died, spawning replacement...
2018-08-24 04:26:47 chartsDataCollector died, spawning replacement...
2018-08-24 04:29:49 chartsDataCollector died, spawning replacement...
2018-08-24 04:32:52 chartsDataCollector died, spawning replacement...
2018-08-24 04:35:54 chartsDataCollector died, spawning replacement...
2018-08-24 04:38:56 chartsDataCollector died, spawning replacement...
2018-08-24 04:41:58 chartsDataCollector died, spawning replacement...
2018-08-24 04:45:01 chartsDataCollector died, spawning replacement...
2018-08-24 04:48:03 chartsDataCollector died, spawning replacement...
2018-08-24 04:51:05 chartsDataCollector died, spawning replacement...
2018-08-24 04:54:08 chartsDataCollector died, spawning replacement...
2018-08-24 04:57:10 chartsDataCollector died, spawning replacement...
2018-08-24 05:00:12 chartsDataCollector died, spawning replacement...
2018-08-24 05:03:14 chartsDataCollector died, spawning replacement...
2018-08-24 05:06:17 chartsDataCollector died, spawning replacement...
2018-08-24 05:09:19 chartsDataCollector died, spawning replacement...
2018-08-24 05:12:21 chartsDataCollector died, spawning replacement...
2018-08-24 05:15:24 chartsDataCollector died, spawning replacement...
2018-08-24 05:18:26 chartsDataCollector died, spawning replacement...
2018-08-24 05:21:28 chartsDataCollector died, spawning replacement...
2018-08-24 05:24:30 chartsDataCollector died, spawning replacement...
2018-08-24 05:27:33 chartsDataCollector died, spawning replacement...
2018-08-24 05:30:35 chartsDataCollector died, spawning replacement...
2018-08-24 05:33:37 chartsDataCollector died, spawning replacement...
2018-08-24 05:36:40 chartsDataCollector died, spawning replacement...
2018-08-24 05:39:42 chartsDataCollector died, spawning replacement...
2018-08-24 05:42:44 chartsDataCollector died, spawning replacement...
2018-08-24 05:45:46 chartsDataCollector died, spawning replacement...
2018-08-24 05:48:49 chartsDataCollector died, spawning replacement...
2018-08-24 05:51:51 chartsDataCollector died, spawning replacement...
2018-08-24 05:54:53 chartsDataCollector died, spawning replacement...
2018-08-24 05:57:56 chartsDataCollector died, spawning replacement...
2018-08-24 06:00:58 chartsDataCollector died, spawning replacement...
2018-08-24 06:04:00 chartsDataCollector died, spawning replacement...
2018-08-24 06:07:03 chartsDataCollector died, spawning replacement...
2018-08-24 06:10:05 chartsDataCollector died, spawning replacement...
2018-08-24 06:13:07 chartsDataCollector died, spawning replacement...
2018-08-24 06:16:10 chartsDataCollector died, spawning replacement...
2018-08-24 06:19:12 chartsDataCollector died, spawning replacement...
2018-08-24 06:22:14 chartsDataCollector died, spawning replacement...
2018-08-24 06:25:17 chartsDataCollector died, spawning replacement...
2018-08-24 06:28:19 chartsDataCollector died, spawning replacement...
2018-08-24 06:31:21 chartsDataCollector died, spawning replacement...
2018-08-24 06:34:24 chartsDataCollector died, spawning replacement...
2018-08-24 06:37:26 chartsDataCollector died, spawning replacement...
2018-08-24 06:40:28 chartsDataCollector died, spawning replacement...
2018-08-24 06:43:30 chartsDataCollector died, spawning replacement...
2018-08-24 06:46:33 chartsDataCollector died, spawning replacement...
2018-08-24 06:49:35 chartsDataCollector died, spawning replacement...
2018-08-24 06:52:37 chartsDataCollector died, spawning replacement...
2018-08-24 06:55:40 chartsDataCollector died, spawning replacement...
2018-08-24 06:58:42 chartsDataCollector died, spawning replacement...
2018-08-24 07:01:44 chartsDataCollector died, spawning replacement...
2018-08-24 07:04:47 chartsDataCollector died, spawning replacement...
2018-08-24 07:07:49 chartsDataCollector died, spawning replacement...
2018-08-24 07:10:51 chartsDataCollector died, spawning replacement...
2018-08-24 07:13:54 chartsDataCollector died, spawning replacement...
2018-08-24 07:16:56 chartsDataCollector died, spawning replacement...
2018-08-24 07:19:58 chartsDataCollector died, spawning replacement...
2018-08-24 07:23:01 chartsDataCollector died, spawning replacement...
2018-08-24 07:26:03 chartsDataCollector died, spawning replacement...
2018-08-24 07:29:05 chartsDataCollector died, spawning replacement...
2018-08-24 07:32:08 chartsDataCollector died, spawning replacement...
2018-08-24 07:35:10 chartsDataCollector died, spawning replacement...
2018-08-24 07:38:12 chartsDataCollector died, spawning replacement...
2018-08-24 07:41:14 chartsDataCollector died, spawning replacement...
2018-08-24 07:44:17 chartsDataCollector died, spawning replacement...
2018-08-24 07:47:19 chartsDataCollector died, spawning replacement...
2018-08-24 07:50:21 chartsDataCollector died, spawning replacement...
2018-08-24 07:53:24 chartsDataCollector died, spawning replacement...
2018-08-24 07:56:26 chartsDataCollector died, spawning replacement...
2018-08-24 07:59:28 chartsDataCollector died, spawning replacement...
2018-08-24 08:02:30 chartsDataCollector died, spawning replacement...
2018-08-24 08:05:33 chartsDataCollector died, spawning replacement...
2018-08-24 08:08:35 chartsDataCollector died, spawning replacement...
2018-08-24 08:11:37 chartsDataCollector died, spawning replacement...
2018-08-24 08:14:40 chartsDataCollector died, spawning replacement...
2018-08-24 08:17:42 chartsDataCollector died, spawning replacement...
2018-08-24 08:20:44 chartsDataCollector died, spawning replacement...
2018-08-24 08:23:46 chartsDataCollector died, spawning replacement...
2018-08-24 08:26:49 chartsDataCollector died, spawning replacement...
2018-08-24 08:29:51 chartsDataCollector died, spawning replacement...
2018-08-24 08:32:53 chartsDataCollector died, spawning replacement...
2018-08-24 08:35:56 chartsDataCollector died, spawning replacement...
2018-08-24 08:38:58 chartsDataCollector died, spawning replacement...
2018-08-24 08:42:00 chartsDataCollector died, spawning replacement...
2018-08-24 08:45:02 chartsDataCollector died, spawning replacement...
2018-08-24 08:48:05 chartsDataCollector died, spawning replacement...
2018-08-24 08:51:07 chartsDataCollector died, spawning replacement...
2018-08-24 08:54:09 chartsDataCollector died, spawning replacement...
2018-08-24 08:57:12 chartsDataCollector died, spawning replacement...
2018-08-24 09:00:14 chartsDataCollector died, spawning replacement...
2018-08-24 09:03:16 chartsDataCollector died, spawning replacement...
2018-08-24 09:06:19 chartsDataCollector died, spawning replacement...
2018-08-24 09:09:21 chartsDataCollector died, spawning replacement...
2018-08-24 09:12:23 chartsDataCollector died, spawning replacement...
2018-08-24 09:15:25 chartsDataCollector died, spawning replacement...
2018-08-24 09:18:28 chartsDataCollector died, spawning replacement...
2018-08-24 09:21:30 chartsDataCollector died, spawning replacement...
2018-08-24 09:24:32 chartsDataCollector died, spawning replacement...
2018-08-24 09:27:34 chartsDataCollector died, spawning replacement...
2018-08-24 09:30:37 chartsDataCollector died, spawning replacement...
2018-08-24 09:33:39 chartsDataCollector died, spawning replacement...
2018-08-24 09:36:41 chartsDataCollector died, spawning replacement...
2018-08-24 09:39:44 chartsDataCollector died, spawning replacement...
2018-08-24 09:42:46 chartsDataCollector died, spawning replacement...
2018-08-24 09:45:48 chartsDataCollector died, spawning replacement...
2018-08-24 09:48:50 chartsDataCollector died, spawning replacement...
2018-08-24 09:51:53 chartsDataCollector died, spawning replacement...
